"siteID","taxonID","scientificName","LMA_gm2","N_pct","C_pct","d13C","d15N","chlorophyll_mgg","carotenoids_mgg","lignin_pct","cellulose_pct","EWT_g_cm2","n_samples"
"ABBY","ABPR","Abies procera Rehder",243.9,1.38,50.68,-30.2,-3.9,0.697390338700722,0.152137701277068,15.13,16.65,0.000359370762137239,2
"ABBY","ACCI","Acer circinatum Pursh",60.2,1.63,50.4,-28.7,-4,4.23714274261434,0.829822557154501,6.54,9.415,7.37282793149275e-05,3
"ABBY","ALRU2","Alnus rubra Bong.",85.1333333333333,2.53666666666667,51.85,-28.5333333333333,-1.26666666666667,2.96608059321735,0.65245776719808,11.5966666666667,10.5866666666667,0.000123819056222938,4
"ABBY","COCOC","Corylus cornuta Marshall var. californica (A. DC.) Sharp",89.2,2.2,49.56,-28.5,-2.5,1.99551569506726,0.432735426008969,6.77,12.33,9.31069759009621e-05,2
"ABBY","FRPU7","Frangula purshiana (DC.) A. Gray",70.95,2.78,47.815,-29.35,-5,6.73317058165182,1.61280196872812,4.2,9.68,0.000130639055373079,3
"ABBY","HODI","Holodiscus discolor (Pursh) Maxim.",48.9,2.32,48.88,-29.5,-3.3,8.2339514978602,1.57489300998573,21.26,14.77,5.99802645581131e-05,1
"ABBY","PREM","Prunus emarginata (Douglas ex Hook.) D. Dietr.",52.25,2.635,49.785,-30.1,-3.35,6.12811447811448,1.39471099887767,7.66,11.08,8.42010062195627e-05,3
"ABBY","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii",157.7,1.332,52.235,-28.52,-2.5,1.09723221583551,0.176599634252806,13.206,14.196,0.000252109582825583,7
"ABBY","THPL","Thuja plicata Donn ex D. Don",174.3,1.565,53.335,-27.2,-3.15,1.3465843882974,0.222743083143528,14.595,21.155,0.000270252124302882,2
"ABBY","TSHE","Tsuga heterophylla (Raf.) Sarg.",138.466666666667,1.28333333333333,52.1283333333333,-29.2833333333333,-3.98333333333333,1.0634962690531,0.22076625238555,12.2466666666667,12.2066666666667,0.000207129264466163,3
"ABBY","VAPA","Vaccinium parvifolium Sm.",35.5,2.33,50.25,-33.9,-2.5,8.91884456671252,1.51856946354883,13.56,16.37,7.65674126132791e-05,1
